date,year,month,sudden-onset environmental disaster,environmental cooperation,environmental government initiatives,environmental security,environmental -999,environmental arrest,human-induced disaster,displacement,-999,environmental legal action,environmental opinion,slow-onset environmental disaster,environmental corruption,environmental crime,environmental legal change,environmental activism,environmental corporate initiatives,lethal environmental violence,environmental protests,nonlethal environmental violence,total_articles,total_from_source,total_label_events,total_local_docs,sudden-onset environmental disasterNorm,environmental cooperationNorm,environmental government initiativesNorm,environmental securityNorm,environmental -999Norm,environmental arrestNorm,human-induced disasterNorm,displacementNorm,-999Norm,environmental legal actionNorm,environmental opinionNorm,slow-onset environmental disasterNorm,environmental corruptionNorm,environmental crimeNorm,environmental legal changeNorm,environmental activismNorm,environmental corporate initiativesNorm,lethal environmental violenceNorm,environmental protestsNorm,nonlethal environmental violenceNorm
2012-01-01,2012,1,0,0,0,0,3,0,1,0,6,0,1,0,0,1,0,0,0,0,0,0,12,12,12,216,0.0,0.0,0.0,0.0,0.0138888888888888,0.0,0.0046296296296296,0.0,0.0277777777777777,0.0,0.0046296296296296,0.0,0.0,0.0046296296296296,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,2012,2,5,0,1,0,4,0,2,0,2,1,2,2,0,0,0,0,1,0,0,1,19,19,21,230,0.0217391304347826,0.0,0.0043478260869565,0.0,0.017391304347826,0.0,0.008695652173913,0.0,0.008695652173913,0.0043478260869565,0.008695652173913,0.008695652173913,0.0,0.0,0.0,0.0,0.0043478260869565,0.0,0.0,0.0043478260869565
2012-03-01,2012,3,7,0,0,0,11,0,0,0,4,0,2,2,0,1,0,1,0,0,0,0,25,25,28,308,0.0227272727272727,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0129870129870129,0.0,0.0064935064935064,0.0064935064935064,0.0,0.0032467532467532,0.0,0.0032467532467532,0.0,0.0,0.0,0.0
2012-04-01,2012,4,1,0,1,0,8,0,2,0,3,1,5,0,1,1,0,0,0,0,0,1,18,18,24,253,0.0039525691699604,0.0,0.0039525691699604,0.0,0.0316205533596837,0.0,0.0079051383399209,0.0,0.0118577075098814,0.0039525691699604,0.0197628458498023,0.0,0.0039525691699604,0.0039525691699604,0.0,0.0,0.0,0.0,0.0,0.0039525691699604
2012-05-01,2012,5,3,1,0,0,6,1,2,0,9,2,0,0,0,1,1,1,0,0,0,0,24,24,27,322,0.0093167701863354,0.0031055900621118,0.0,0.0,0.0186335403726708,0.0031055900621118,0.0062111801242236,0.0,0.0279503105590062,0.0062111801242236,0.0,0.0,0.0,0.0031055900621118,0.0031055900621118,0.0031055900621118,0.0,0.0,0.0,0.0
2012-06-01,2012,6,1,1,1,0,11,1,1,0,5,2,1,2,1,0,0,1,1,0,0,0,24,24,29,300,0.0033333333333333,0.0033333333333333,0.0033333333333333,0.0,0.0366666666666666,0.0033333333333333,0.0033333333333333,0.0,0.0166666666666666,0.0066666666666666,0.0033333333333333,0.0066666666666666,0.0033333333333333,0.0,0.0,0.0033333333333333,0.0033333333333333,0.0,0.0,0.0
2012-07-01,2012,7,4,0,0,0,8,0,1,1,5,0,2,3,0,1,1,1,1,0,1,0,24,24,29,321,0.0124610591900311,0.0,0.0,0.0,0.0249221183800623,0.0,0.0031152647975077,0.0031152647975077,0.0155763239875389,0.0,0.0062305295950155,0.0093457943925233,0.0,0.0031152647975077,0.0031152647975077,0.0031152647975077,0.0031152647975077,0.0,0.0031152647975077,0.0
2012-08-01,2012,8,14,0,0,0,3,0,3,0,5,1,3,2,1,0,0,2,0,0,2,0,31,31,36,344,0.0406976744186046,0.0,0.0,0.0,0.0087209302325581,0.0,0.0087209302325581,0.0,0.0145348837209302,0.002906976744186,0.0087209302325581,0.005813953488372,0.002906976744186,0.0,0.0,0.005813953488372,0.0,0.0,0.005813953488372,0.0
2012-09-01,2012,9,43,0,0,0,5,0,5,1,11,0,1,1,0,0,0,0,0,0,0,0,59,59,67,272,0.1580882352941176,0.0,0.0,0.0,0.0183823529411764,0.0,0.0183823529411764,0.0036764705882352,0.0404411764705882,0.0,0.0036764705882352,0.0036764705882352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,2012,10,15,0,0,0,3,0,2,0,8,1,5,0,1,0,3,0,0,0,0,0,34,34,38,314,0.0477707006369426,0.0,0.0,0.0,0.0095541401273885,0.0,0.0063694267515923,0.0,0.0254777070063694,0.0031847133757961,0.0159235668789808,0.0,0.0031847133757961,0.0,0.0095541401273885,0.0,0.0,0.0,0.0,0.0
2012-11-01,2012,11,3,0,0,0,5,0,2,0,4,0,4,0,0,0,0,1,0,0,1,0,19,19,20,611,0.0049099836333878,0.0,0.0,0.0,0.0081833060556464,0.0,0.0032733224222585,0.0,0.0065466448445171,0.0,0.0065466448445171,0.0,0.0,0.0,0.0,0.0016366612111292,0.0,0.0,0.0016366612111292,0.0
2012-12-01,2012,12,3,0,1,0,10,0,2,0,3,0,3,0,0,1,2,0,0,0,1,0,23,23,26,484,0.006198347107438,0.0,0.0020661157024793,0.0,0.0206611570247933,0.0,0.0041322314049586,0.0,0.006198347107438,0.0,0.006198347107438,0.0,0.0,0.0020661157024793,0.0041322314049586,0.0,0.0,0.0,0.0020661157024793,0.0
2013-01-01,2013,1,2,0,4,0,2,0,2,0,4,2,2,2,0,0,0,0,1,0,1,0,19,19,22,532,0.0037593984962406,0.0,0.0075187969924812,0.0,0.0037593984962406,0.0,0.0037593984962406,0.0,0.0075187969924812,0.0037593984962406,0.0037593984962406,0.0037593984962406,0.0,0.0,0.0,0.0,0.0018796992481203,0.0,0.0018796992481203,0.0
2013-02-01,2013,2,0,0,1,0,5,0,2,0,4,2,5,1,1,1,0,0,4,0,0,1,23,23,27,586,0.0,0.0,0.0017064846416382,0.0,0.0085324232081911,0.0,0.0034129692832764,0.0,0.0068259385665529,0.0034129692832764,0.0085324232081911,0.0017064846416382,0.0017064846416382,0.0017064846416382,0.0,0.0,0.0068259385665529,0.0,0.0,0.0017064846416382
2013-03-01,2013,3,3,1,2,1,6,0,1,0,1,0,5,2,0,1,0,0,2,0,0,0,21,21,25,537,0.0055865921787709,0.0018621973929236,0.0037243947858473,0.0018621973929236,0.0111731843575419,0.0,0.0018621973929236,0.0,0.0018621973929236,0.0,0.0093109869646182,0.0037243947858473,0.0,0.0018621973929236,0.0,0.0,0.0037243947858473,0.0,0.0,0.0
2013-04-01,2013,4,4,1,3,1,10,0,3,0,3,0,7,1,0,0,1,1,1,0,1,0,35,35,37,1278,0.0031298904538341,0.0007824726134585,0.0023474178403755,0.0007824726134585,0.0078247261345852,0.0,0.0023474178403755,0.0,0.0023474178403755,0.0,0.0054773082942097,0.0007824726134585,0.0,0.0,0.0007824726134585,0.0007824726134585,0.0007824726134585,0.0,0.0007824726134585,0.0
2013-05-01,2013,5,10,1,2,0,8,0,4,0,5,0,11,3,0,0,2,3,2,0,0,1,47,47,52,1392,0.007183908045977,0.0007183908045977,0.0014367816091954,0.0,0.0057471264367816,0.0,0.0028735632183908,0.0,0.0035919540229885,0.0,0.0079022988505747,0.0021551724137931,0.0,0.0,0.0014367816091954,0.0021551724137931,0.0014367816091954,0.0,0.0,0.0007183908045977
2013-06-01,2013,6,8,0,1,0,15,1,1,0,9,7,7,1,2,2,2,2,0,5,0,0,55,55,63,1337,0.0059835452505609,0.0,0.0007479431563201,0.0,0.0112191473448017,0.0007479431563201,0.0007479431563201,0.0,0.006731488406881,0.0052356020942408,0.0052356020942408,0.0007479431563201,0.0014958863126402,0.0014958863126402,0.0014958863126402,0.0014958863126402,0.0,0.0037397157816005,0.0,0.0
2013-07-01,2013,7,4,0,2,4,7,0,4,0,6,2,4,3,0,2,1,4,1,2,0,1,45,45,47,1497,0.0026720106880427,0.0,0.0013360053440213,0.0026720106880427,0.0046760187040748,0.0,0.0026720106880427,0.0,0.0040080160320641,0.0013360053440213,0.0026720106880427,0.002004008016032,0.0,0.0013360053440213,0.0006680026720106,0.0026720106880427,0.0006680026720106,0.0013360053440213,0.0,0.0006680026720106
2013-08-01,2013,8,6,0,1,1,10,3,10,0,13,4,7,1,0,2,1,3,2,1,3,0,62,62,68,1527,0.0039292730844793,0.0,0.0006548788474132,0.0006548788474132,0.0065487884741322,0.0019646365422396,0.0065487884741322,0.0,0.0085134250163719,0.0026195153896529,0.0045841519318926,0.0006548788474132,0.0,0.0013097576948264,0.0006548788474132,0.0019646365422396,0.0013097576948264,0.0006548788474132,0.0019646365422396,0.0
2013-09-01,2013,9,7,0,1,0,18,0,9,0,11,1,6,2,2,2,1,3,2,0,0,1,58,58,66,1515,0.0046204620462046,0.0,0.0006600660066006,0.0,0.0118811881188118,0.0,0.0059405940594059,0.0,0.0072607260726072,0.0006600660066006,0.0039603960396039,0.0013201320132013,0.0013201320132013,0.0013201320132013,0.0006600660066006,0.0019801980198019,0.0013201320132013,0.0,0.0,0.0006600660066006
2013-10-01,2013,10,11,1,0,0,24,0,2,0,16,1,6,4,0,2,2,0,1,0,1,0,65,65,71,1394,0.0078909612625538,0.0007173601147776,0.0,0.0,0.0172166427546628,0.0,0.0014347202295552,0.0,0.0114777618364418,0.0007173601147776,0.0043041606886657,0.0028694404591104,0.0,0.0014347202295552,0.0014347202295552,0.0,0.0007173601147776,0.0,0.0007173601147776,0.0
2013-11-01,2013,11,1,1,3,0,20,0,5,0,11,2,9,1,0,1,1,3,0,0,0,0,51,51,58,1392,0.0007183908045977,0.0007183908045977,0.0021551724137931,0.0,0.014367816091954,0.0,0.0035919540229885,0.0,0.0079022988505747,0.0014367816091954,0.0064655172413793,0.0007183908045977,0.0,0.0007183908045977,0.0007183908045977,0.0021551724137931,0.0,0.0,0.0,0.0
