country,panel,variable,date,value,baseline,mad,score
Zambia,Non_Civic_Related,arrestNorm,2017-03-01,0.047058823529411764,0.019171090240914658,0.005071843182034446,3.708714510824832
Zambia,Non_Civic_Related,arrestNorm,2021-12-01,0.07157057654075547,0.03923856235277057,0.004048968856289383,5.3859749430246975
Zambia,Non_Civic_Related,arrestNorm,2022-06-01,0.06986444212721585,0.04002501718077138,0.005373601755018071,3.745423891094532
Zambia,Non_Civic_Related,protestNorm,2013-10-01,0.023214285714285715,0.0029036239382572325,0.0022883759603608226,5.9864960671172405
Zambia,Non_Civic_Related,protestNorm,2016-12-01,0.01579778830963665,0.0014749262536873156,0.0024411401141713742,3.9574287644996575
Zambia,Non_Civic_Related,disasterNorm,2020-03-01,0.10799438990182328,0.029284600869636558,0.010040226336286753,5.287632330626971
Zambia,Non_Civic_Related,disasterNorm,2020-04-01,0.15375722543352602,0.029284600869636558,0.010040226336286753,8.361926540711114
Zambia,Non_Civic_Related,disasterNorm,2020-05-01,0.1559633027522936,0.029284600869636558,0.011316426277356371,7.550406086532029
Zambia,Non_Civic_Related,disasterNorm,2023-12-01,0.05615194054500413,0.020243007934952977,0.004775492919627387,5.071778690865924
Zambia,Non_Civic_Related,disasterNorm,2024-01-01,0.05506993006993007,0.020243007934952977,0.00573033854415822,4.0993105346280485
Zambia,Non_Civic_Related,disasterNorm,2024-08-01,0.049554013875123884,0.024037845799180328,0.004089455650480666,4.208486668012341
Zambia,Non_Civic_Related,censorNorm,2019-02-01,0.011037527593818985,0.00089126559714795,0.001124043444692172,6.088341151135244
Zambia,Non_Civic_Related,censorNorm,2019-03-01,0.008264462809917356,0.0017970626985972255,0.001124043444692172,3.880812288459148
Zambia,Non_Civic_Related,censorNorm,2021-05-01,0.0057405281285878304,0.0005656108597285068,0.0009188129542266989,3.7988514015228803
Zambia,Non_Civic_Related,censorNorm,2023-05-01,0.0020470829068577278,0.0009916420845624387,6.919065217797732e-05,10.288746519997934
Zambia,Non_Civic_Related,censorNorm,2023-06-01,0.002840909090909091,0.0010005005005005005,6.919065217797732e-05,17.940842423321538
Zambia,Non_Civic_Related,censorNorm,2025-07-01,0.002336448598130841,0.0,0.0004332755632582322,3.637207179607434
Zambia,Non_Civic_Related,electionactivityNorm,2015-01-01,0.02617801047120419,0.002157070365162851,0.0018074526139042267,8.963942960843859
Zambia,Non_Civic_Related,electionactivityNorm,2021-08-01,0.03035413153456998,0.0037157287157287156,0.0025139056722941044,7.147188037539739
Zambia,Non_Civic_Related,electionactivityNorm,2023-12-01,0.007431874483897605,0.001491202656195333,0.0010183563396830237,3.934701534941419
Zambia,Non_Civic_Related,electionirregularitiesNorm,2024-04-01,0.0034662045060658577,0.0,0.00018340109406891713,12.747595218374375
Zambia,Non_Civic_Related,activismNorm,2016-09-01,0.010273972602739725,0.0,0.001696516230726884,4.084664477801413
Zambia,Non_Civic_Related,activismNorm,2023-06-01,0.005681818181818182,0.003019756838905775,0.0004153359470541521,4.323092642689486
Zambia,Non_Civic_Related,activismNorm,2024-01-01,0.008741258741258742,0.003055069019049071,0.0010726178278688526,3.575628079836601
Zambia,Non_Civic_Related,martiallawNorm,2018-03-01,0.0035650623885918,0.0005370569280343716,0.00013833284509976238,14.76411261054997
Zambia,Non_Civic_Related,martiallawNorm,2023-04-01,0.0019474196689386564,0.0,0.00024019625310324363,5.468513994502256
Zambia,Non_Civic_Related,martiallawNorm,2024-01-01,0.0026223776223776225,0.00039184952978056425,0.00021695715088180704,6.934413459500443
Zambia,Non_Civic_Related,cooperateNorm,2023-10-01,0.050204918032786885,0.028320555577278323,0.0033259951429849277,4.438010164990776
Zambia,Non_Civic_Related,cooperateNorm,2023-11-01,0.0634765625,0.028320555577278323,0.0033259951429849277,7.129415645565314
Zambia,Non_Civic_Related,coupNorm,2014-09-01,0.003468208092485549,0.0,0.0002685284640171858,8.711457531644534
Zambia,Non_Civic_Related,coupNorm,2018-08-01,0.0019267822736030828,0.0,0.0002969121140142518,4.377042153982991
Zambia,Non_Civic_Related,coupNorm,2018-10-01,0.0018281535648994515,0.0,0.0002969121140142518,4.152988807892455
Zambia,Non_Civic_Related,coupNorm,2018-11-01,0.004056795131845842,0.0,0.0002969121140142518,9.2157601538222
Zambia,Non_Civic_Related,coupNorm,2019-06-01,0.01805869074492099,0.0009140767824497258,0.0009140767824497258,12.650888759573428
Zambia,Non_Civic_Related,coupNorm,2020-08-01,0.005509641873278237,0.0014849870889846566,0.00048089048482890856,5.644928622480623
Zambia,Non_Civic_Related,coupNorm,2021-03-01,0.004301075268817204,0.0014217233671906262,0.00048089048482890856,4.038541647625756
Zambia,Non_Civic_Related,coupNorm,2022-11-01,0.009857612267250822,0.001797364511336477,0.0014650021559246863,3.71095879174643
Zambia,Non_Civic_Related,violencenonlethalNorm,2021-03-01,0.023655913978494623,0.008733232357129254,0.0025479780952174795,3.950273700984487
Zambia,Non_Civic_Related,violencelethalNorm,2014-04-01,0.020253164556962026,0.009612275202111862,0.0016346490281409368,4.390655987249943
Zambia,Non_Civic_Related,corruptionNorm,2019-06-01,0.05417607223476298,0.024311665748738408,0.005492320850147623,3.667532680931242
Zambia,Non_Civic_Related,legalchangeNorm,2015-04-01,0.03327495621716287,0.01876203266931744,0.0027853497446308686,3.5143998863630337
Zambia,Non_Civic_Related,legalchangeNorm,2018-03-01,0.06060606060606061,0.025787830989696947,0.006351895123393913,3.6972547060921004
Zambia,Non_Civic_Related,legalchangeNorm,2019-03-01,0.08057851239669421,0.026570048309178744,0.0061299080012786455,5.942700926825348
Zambia,Non_Civic_Related,legalchangeNorm,2020-06-01,0.0706436420722135,0.027602809486647,0.0077370470525856255,3.752160696688804
Zambia,Non_Civic_Related,mobilizesecurityNorm,2019-10-01,0.00980392156862745,0.0009140767824497258,0.0015035176271120379,3.9880597695255684
