country,panel,variable,date,value,baseline,mad,score
Armenia,Non_Civic_Related,arrestNorm,2016-06-01,0.010336985734959685,0.0061577950867001885,0.000706114674517457,3.992022225381953
Armenia,Non_Civic_Related,arrestNorm,2016-07-01,0.013141932875050546,0.0061577950867001885,0.000706114674517457,6.671347546165689
Armenia,Non_Civic_Related,arrestNorm,2018-04-01,0.01664425016812374,0.006915540801901721,0.0006569415539544169,9.988597204197356
Armenia,Non_Civic_Related,arrestNorm,2018-06-01,0.011544715447154472,0.007101976434607858,0.0007523305500479719,3.983071550846618
Armenia,Non_Civic_Related,arrestNorm,2022-05-01,0.020799630228795933,0.00858864088291459,0.0017209846140160915,4.785748466771074
Armenia,Non_Civic_Related,protestNorm,2014-08-01,0.0008950548221078541,0.0003733837801444963,5.257973430821441e-05,6.6919755666365415
Armenia,Non_Civic_Related,protestNorm,2014-12-01,0.0011741682974559687,0.0003978834846456708,5.257973430821441e-05,9.958150984432876
Armenia,Non_Civic_Related,protestNorm,2018-05-01,0.0023454514994136373,0.0005613588948584713,0.00014992763903138803,8.026231744842345
Armenia,Non_Civic_Related,protestNorm,2020-12-01,0.0030759766225776685,0.0007085585099395652,0.00014838609072540486,10.7611274950755
Armenia,Non_Civic_Related,protestNorm,2022-01-01,0.002288329519450801,0.000924369564435765,0.00013382876740179798,6.874294696234304
Armenia,Non_Civic_Related,protestNorm,2022-02-01,0.0023847376788553257,0.000978143112196548,0.00018604412645032358,5.09951620426274
Armenia,Non_Civic_Related,protestNorm,2022-04-01,0.00298804780876494,0.00108061323858979,0.00018604412645032358,6.915278737557331
Armenia,Non_Civic_Related,protestNorm,2024-04-01,0.004754358161648178,0.0015513424735789775,0.0005088356525438746,4.245780485821917
Armenia,Non_Civic_Related,protestNorm,2024-05-01,0.006224988883948421,0.0018923626939028478,0.0006529410386236218,4.4756205485447405
Armenia,Non_Civic_Related,legalactionNorm,2018-07-01,0.020923520923520924,0.013343746761226516,0.0012353404093645584,4.138525375379585
Armenia,Non_Civic_Related,legalactionNorm,2018-08-01,0.026993612198640018,0.013343746761226516,0.0012353404093645584,7.452770131894383
Armenia,Non_Civic_Related,disasterNorm,2016-01-01,0.02079354975599406,0.00767147732213062,0.0011803955870866596,7.498093604083988
Armenia,Non_Civic_Related,disasterNorm,2017-08-01,0.020135917442738484,0.01017152852993859,0.000788403927259684,8.524676264456053
Armenia,Non_Civic_Related,disasterNorm,2019-07-01,0.016113921678845792,0.00743743452128596,0.0015910703429540935,3.6781594468198238
Armenia,Non_Civic_Related,disasterNorm,2020-02-01,0.02185030218503022,0.007380478167318567,0.001488346860197253,6.557451661439681
Armenia,Non_Civic_Related,disasterNorm,2020-03-01,0.05907012195121951,0.007818658453867165,0.001488346860197253,23.226197778947
Armenia,Non_Civic_Related,disasterNorm,2020-04-01,0.05523884411244348,0.008202010849503689,0.0021601537204185375,14.68687579546294
