country,panel,variable,date,value,baseline,mad,score
Cameroon,Non_Civic_Related,arrestNorm,2017-03-01,0.027737226277372264,0.011017241379310344,0.003169152276295133,3.5585148106277837
Cameroon,Non_Civic_Related,arrestNorm,2023-02-01,0.050482553823311065,0.019983635448136958,0.005097061430374986,4.035901646288862
Cameroon,Non_Civic_Related,arrestNorm,2025-10-01,0.04067321178120617,0.024071127193011417,0.0023131571075468357,4.840982312118817
Cameroon,Non_Civic_Related,protestNorm,2013-07-01,0.011494252873563218,0.0,0.001736111111111111,4.4655939937760785
Cameroon,Non_Civic_Related,protestNorm,2014-07-01,0.021834061135371178,0.0027225570668592226,0.0028275541932536582,4.558898614451513
Cameroon,Non_Civic_Related,protestNorm,2016-11-01,0.019310344827586208,0.003998373542965573,0.0018128257362966691,5.697063393388103
Cameroon,Non_Civic_Related,protestNorm,2017-03-01,0.016058394160583942,0.004800214740394202,0.0019806214203109875,3.833916926060131
Cameroon,Non_Civic_Related,protestNorm,2017-04-01,0.019769357495881382,0.004800214740394202,0.0019806214203109875,5.097667006083783
Cameroon,Non_Civic_Related,protestNorm,2021-10-01,0.012864493996569469,0.0031416867416378955,0.0015982190901721628,4.103282015557024
Cameroon,Non_Civic_Related,protestNorm,2022-02-01,0.017164179104477612,0.0030249870100472784,0.0012665839027916606,7.529508620106378
Cameroon,Non_Civic_Related,protestNorm,2022-03-01,0.05363984674329502,0.0030249870100472784,0.0014253544959895832,23.951413685742573
Cameroon,Non_Civic_Related,protestNorm,2024-01-01,0.010570824524312896,0.0016609181243327584,0.0013297782939481035,4.5192868329542115
Cameroon,Non_Civic_Related,legalactionNorm,2021-06-01,0.032463399108847865,0.014149542356993143,0.0034805793643281043,3.548985917719078
Cameroon,Non_Civic_Related,legalactionNorm,2023-02-01,0.03637713437268003,0.01320089389366148,0.002950835160944032,5.297537541034446
Cameroon,Non_Civic_Related,disasterNorm,2014-08-01,0.041189931350114416,0.005179229480737018,0.005979368454208993,4.0621155627337515
Cameroon,Non_Civic_Related,disasterNorm,2019-08-01,0.03376205787781351,0.01956225924325279,0.0016160137566876513,5.926702619828486
Cameroon,Non_Civic_Related,disasterNorm,2020-03-01,0.22582331416623105,0.02269339892428584,0.0043550693431729445,31.45971740237231
Cameroon,Non_Civic_Related,disasterNorm,2020-04-01,0.16329625884732052,0.024199185017271158,0.004675588664210414,20.0658564528464
Cameroon,Non_Civic_Related,disasterNorm,2020-05-01,0.10712530712530713,0.024335344645868465,0.005376937951026001,10.385290880870233
Cameroon,Non_Civic_Related,disasterNorm,2020-06-01,0.0715130023640662,0.025970045475252352,0.006880446126477171,4.4645802054225
Cameroon,Non_Civic_Related,disasterNorm,2024-02-01,0.03680981595092025,0.012654487500881696,0.004645284820290737,3.5073297896625855
Cameroon,Non_Civic_Related,censorNorm,2017-01-01,0.005813953488372093,0.0008749146634019459,0.0009008493613580628,3.6979945716078393
Cameroon,Non_Civic_Related,censorNorm,2017-02-01,0.007653061224489796,0.0009373256789461894,0.0009373256789461894,4.832580254976368
Cameroon,Non_Civic_Related,censorNorm,2017-04-01,0.006589785831960461,0.001029489204844655,0.0009373256789461894,4.001137255894805
Cameroon,Non_Civic_Related,electionactivityNorm,2017-06-01,0.007547169811320755,0.0,0.0010160932969837096,5.009870956779061
Cameroon,Non_Civic_Related,electionactivityNorm,2018-10-01,0.01762114537444934,0.0027981429388458583,0.0019477202778342044,5.133169420832343
