country,iso3,civic_start,civic_end,civic_months,rai_start,rai_end,rai_months,mleed_start,mleed_end,mleed_months
Mexico,MEX,2012-01-01,2026-06-01,174,2012-01-01,2026-06-01,174,2012-01-01,2026-07-01,175
Moldova,MDA,2012-01-01,2026-06-01,174,2012-01-01,2026-06-01,174,2012-01-01,2026-08-01,176
Morocco,MAR,2012-01-01,2026-06-01,174,2012-01-01,2026-06-01,174,2012-01-01,2026-07-01,175
Mozambique,MOZ,2012-01-01,2026-04-01,172,2012-01-01,2026-04-01,172,2012-01-01,2026-05-01,173
Namibia,NAM,2012-01-01,2026-06-01,174,2012-01-01,2026-06-01,174,2012-01-01,2026-07-01,175
Nepal,NPL,2012-01-01,2026-06-01,174,2012-01-01,2026-06-01,174,2012-01-01,2026-07-01,175
Nicaragua,NIC,2012-01-01,2026-08-01,176,2012-01-01,2026-08-01,176,2012-01-01,2026-09-01,177
Niger,NER,2012-01-01,2026-06-01,174,2012-01-01,2026-06-01,174,2012-01-01,2026-07-01,175
Nigeria,NGA,2012-01-01,2026-04-01,172,2012-01-01,2026-04-01,172,2012-01-01,2026-06-01,174
Pakistan,PAK,2012-01-01,2026-06-01,174,2012-01-01,2026-06-01,174,2012-01-01,2026-08-01,176
Panama,PAN,2012-01-01,2026-08-01,176,2012-01-01,2026-08-01,176,2012-01-01,2026-09-01,177
Paraguay,PRY,2012-01-01,2026-08-01,176,2012-01-01,2026-08-01,176,2012-01-01,2026-09-01,177
Peru,PER,2012-01-01,2026-03-01,171,2012-01-01,2026-03-01,171,2012-01-01,2026-04-01,172
Philippines,PHL,2012-01-01,2026-06-01,174,2012-01-01,2026-06-01,174,2012-01-01,2026-07-01,175
Rwanda,RWA,2012-01-01,2026-04-01,172,2012-01-01,2026-04-01,172,2012-01-01,2026-05-01,173
Senegal,SEN,2012-01-01,2026-08-01,176,2012-01-01,2026-08-01,176,2012-01-01,2026-09-01,177
Serbia,SRB,2012-01-01,2026-07-01,175,2012-01-01,2026-07-01,175,2012-01-01,2026-08-01,176
Solomon Islands,SLB,2012-01-01,2026-03-01,171,2012-01-01,2026-03-01,171,2012-01-01,2026-06-01,174
South Africa,ZAF,2012-01-01,2026-04-01,172,2012-01-01,2026-04-01,172,2012-01-01,2026-05-01,173
South Sudan,SSD,2012-01-01,2026-04-01,172,2012-01-01,2026-04-01,172,2012-01-01,2026-05-01,173
Sri Lanka,LKA,2012-01-01,2026-08-01,176,2012-01-01,2026-08-01,176,2012-01-01,2026-09-01,177
Tanzania,TZA,2012-01-01,2026-03-01,171,2012-01-01,2026-03-01,171,2012-01-01,2026-04-01,172
Timor Leste,TLS,2012-01-01,2026-08-01,176,2012-01-01,2026-08-01,176,2012-01-01,2026-09-01,177
Tunisia,TUN,2012-01-01,2026-08-01,176,2012-01-01,2026-08-01,176,2012-01-01,2026-09-01,177
Turkey,TUR,2012-01-01,2026-05-01,173,2012-01-01,2026-05-01,173,2012-01-01,2026-06-01,174
Uganda,UGA,2012-01-01,2026-04-01,172,2012-01-01,2026-04-01,172,2012-01-01,2026-05-01,173
Ukraine,UKR,2012-01-01,2026-06-01,174,2012-01-01,2026-06-01,174,2012-01-01,2026-07-01,175
Uzbekistan,UZB,2012-01-01,2026-06-01,174,2012-01-01,2026-06-01,174,2012-01-01,2026-07-01,175
Zambia,ZMB,2012-01-01,2026-06-01,174,2012-01-01,2026-06-01,174,2012-01-01,2026-07-01,175
Zimbabwe,ZWE,2012-01-01,2026-01-01,169,2012-01-01,2026-03-01,171,2012-01-01,2026-05-01,173
